recv	ack	#101,	sack	#101
recv	ack	#101,	sack	#127
send	data	#131,	winSize = 8
recv	ack	#101,	sack	#128
send	data	#132,	winSize = 8
recv	ack	#101,	sack	#129
send	data	#133,	winSize = 8
recv	ack	#101,	sack	#131
send	data	#134,	winSize = 8
recv	ack	#101,	sack	#132
send	data	#135,	winSize = 8
recv	ack	#101,	sack	#133
send	data	#136,	winSize = 8
recv	ack	#101,	sack	#134
send	data	#137,	winSize = 8
recv	ack	#101,	sack	#135
send	data	#138,	winSize = 8
recv	ack	#101,	sack	#136
send	data	#139,	winSize = 8
recv	ack	#101,	sack	#137
send	data	#140,	winSize = 8
recv	ack	#101,	sack	#138
send	data	#141,	winSize = 8
recv	ack	#101,	sack	#139
send	data	#142,	winSize = 8
recv	ack	#101,	sack	#101
recv	ack	#101,	sack	#141
send	data	#143,	winSize = 8
recv	ack	#101,	sack	#142
send	data	#144,	winSize = 8
recv	ack	#101,	sack	#144
send	data	#145,	winSize = 8
recv	ack	#101,	sack	#145
send	data	#146,	winSize = 8
recv	ack	#101,	sack	#146
send	data	#147,	winSize = 8
recv	ack	#101,	sack	#147
send	data	#148,	winSize = 8
recv	ack	#101,	sack	#148
send	data	#149,	winSize = 8
recv	ack	#101,	sack	#149
send	data	#150,	winSize = 8
recv	ack	#101,	sack	#101
time	out,	threshold = 4,	winSize = 1
resnd	data	#102,	winSize = 1
recv	ack	#105,	sack	#102
resnd	data	#106,	winSize = 2
resnd	data	#107,	winSize = 2
recv	ack	#105,	sack	#105
recv	ack	#105,	sack	#107
resnd	data	#109,	winSize = 2
recv	ack	#105,	sack	#109
resnd	data	#130,	winSize = 2
resnd	data	#106,	winSize = 2
recv	ack	#105,	sack	#130
resnd	data	#140,	winSize = 2
recv	ack	#139,	sack	#106
resnd	data	#143,	winSize = 3
resnd	data	#150,	winSize = 3
recv	ack	#142,	sack	#140
send	data	#151,	winSize = 4
send	data	#152,	winSize = 4
recv	ack	#149,	sack	#143
send	data	#153,	winSize = 4
recv	ack	#149,	sack	#151
send	data	#154,	winSize = 4
recv	ack	#149,	sack	#152
send	data	#155,	winSize = 4
recv	ack	#149,	sack	#153
send	data	#156,	winSize = 4
resnd	data	#150,	winSize = 4
recv	ack	#149,	sack	#155
send	data	#157,	winSize = 4
recv	ack	#149,	sack	#156
send	data	#158,	winSize = 4
recv	ack	#153,	sack	#150
send	data	#159,	winSize = 4
recv	ack	#153,	sack	#158
send	data	#160,	winSize = 4
recv	ack	#153,	sack	#159
send	data	#161,	winSize = 4
time	out,	threshold = 2,	winSize = 1
resnd	data	#154,	winSize = 1
recv	ack	#153,	sack	#153
time	out,	threshold = 1,	winSize = 1
resnd	data	#154,	winSize = 1
recv	ack	#156,	sack	#154
resnd	data	#157,	winSize = 2
resnd	data	#160,	winSize = 2
recv	ack	#159,	sack	#157
resnd	data	#161,	winSize = 2
recv	ack	#160,	sack	#160
send	data	#162,	winSize = 3
send	data	#163,	winSize = 3
recv	ack	#161,	sack	#161
send	data	#164,	winSize = 3
recv	ack	#162,	sack	#162
send	data	#165,	winSize = 3
recv	ack	#163,	sack	#163
send	data	#166,	winSize = 4
send	data	#167,	winSize = 4
recv	ack	#164,	sack	#164
send	data	#168,	winSize = 4
recv	ack	#165,	sack	#165
send	data	#169,	winSize = 4
recv	ack	#166,	sack	#166
send	data	#170,	winSize = 4
recv	ack	#167,	sack	#167
send	data	#171,	winSize = 5
send	data	#172,	winSize = 5
recv	ack	#167,	sack	#169
send	data	#173,	winSize = 5
recv	ack	#167,	sack	#167
recv	ack	#167,	sack	#171
send	data	#174,	winSize = 5
resnd	data	#168,	winSize = 5
recv	ack	#167,	sack	#172
send	data	#175,	winSize = 5
recv	ack	#167,	sack	#173
send	data	#176,	winSize = 5
recv	ack	#167,	sack	#174
send	data	#177,	winSize = 5
recv	ack	#169,	sack	#168
send	data	#178,	winSize = 5
recv	ack	#169,	sack	#175
send	data	#179,	winSize = 5
recv	ack	#169,	sack	#176
send	data	#180,	winSize = 5
recv	ack	#169,	sack	#177
send	data	#181,	winSize = 5
resnd	data	#170,	winSize = 5
recv	ack	#169,	sack	#179
send	data	#182,	winSize = 5
recv	ack	#169,	sack	#180
send	data	#183,	winSize = 5
recv	ack	#169,	sack	#169
recv	ack	#177,	sack	#170
send	data	#184,	winSize = 5
recv	ack	#177,	sack	#182
send	data	#185,	winSize = 5
recv	ack	#177,	sack	#183
send	data	#186,	winSize = 5
recv	ack	#177,	sack	#184
send	data	#187,	winSize = 5
resnd	data	#178,	winSize = 5
recv	ack	#177,	sack	#185
send	data	#188,	winSize = 5
recv	ack	#177,	sack	#186
send	data	#189,	winSize = 5
recv	ack	#177,	sack	#187
send	data	#190,	winSize = 5
recv	ack	#180,	sack	#178
send	data	#191,	winSize = 5
recv	ack	#180,	sack	#188
send	data	#192,	winSize = 5
recv	ack	#180,	sack	#189
send	data	#193,	winSize = 5
recv	ack	#180,	sack	#190
send	data	#194,	winSize = 5
resnd	data	#181,	winSize = 5
recv	ack	#180,	sack	#191
send	data	#195,	winSize = 5
recv	ack	#180,	sack	#192
send	data	#196,	winSize = 5
recv	ack	#180,	sack	#193
send	data	#197,	winSize = 5
recv	ack	#180,	sack	#194
send	data	#198,	winSize = 5
recv	ack	#194,	sack	#181
send	data	#199,	winSize = 5
recv	ack	#194,	sack	#194
recv	ack	#194,	sack	#196
send	data	#200,	winSize = 5
recv	ack	#194,	sack	#198
send	data	#201,	winSize = 5
resnd	data	#195,	winSize = 5
recv	ack	#194,	sack	#199
send	data	#202,	winSize = 5
recv	ack	#194,	sack	#200
send	data	#203,	winSize = 5
recv	ack	#194,	sack	#201
send	data	#204,	winSize = 5
recv	ack	#196,	sack	#195
send	data	#205,	winSize = 6
send	data	#206,	winSize = 6
recv	ack	#196,	sack	#202
send	data	#207,	winSize = 6
